pair,tf,filter,sl_buffer,rr,entry,trades,wins,losses,win_rate,profit_factor,total_pips,net_return,max_dd,avg_zone_age,wt_trades,wt_wr,wt_pf,wt_pips,ct_trades,ct_wr,ct_pf,ct_pips,bars,csv
AUDCAD,1H,origination,15,1.8,bottom,27,13,14,48.1,1.55,133.1,9.6,3.9,105.7,27,48.1,1.55,133.1,0,0.0,999.0,0.0,21646,PEPPERSTONE_AUDCAD__60.csv
AUDCAD,1H,none,15,2.0,bottom,27,8,19,29.6,0.81,,,9.7,90.6,,,,,,,,,21646,PEPPERSTONE_AUDCAD__60.csv
AUDCAD,1H,origination,15,2.0,bottom,27,9,18,33.3,0.98,,,7.8,105.7,,,,,0,0.0,999.0,0.0,21646,PEPPERSTONE_AUDCAD__60.csv
AUDCAD,1H,none,20,1.5,bottom,,,,,,,,,,,,,,,,,,21646,PEPPERSTONE_AUDCAD__60.csv
AUDCAD,1H,origination,20,1.5,bottom,,,,,,,,,,,,,,,,,,21646,PEPPERSTONE_AUDCAD__60.csv
AUDCAD,1H,none,20,1.8,bottom,,,,,,,,,,,,,,,,,,21646,PEPPERSTONE_AUDCAD__60.csv
AUDCAD,1H,origination,20,1.8,bottom,,,,,,,,,,,,,,,,,,21646,PEPPERSTONE_AUDCAD__60.csv
AUDCAD,1H,none,20,2.0,bottom,,,,,,,,,,,,,,,,,,21646,PEPPERSTONE_AUDCAD__60.csv
AUDCAD,1H,origination,20,2.0,bottom,,,,,,,,,,,,,,,,,,21646,PEPPERSTONE_AUDCAD__60.csv
AUDNZD,2H,none,10,1.5,bottom,39,29,10,74.4,4.49,485.4,39.3,3.0,29.5,31,71.0,3.68,345.3,8,87.5,15.01,140.1,19354,PEPPERSTONE_AUDNZD__120.csv
AUDNZD,2H,origination,10,1.5,bottom,43,31,12,72.1,3.73,475.5,40.7,3.9,67.1,43,72.1,3.73,475.5,0,0.0,999.0,0.0,19354,PEPPERSTONE_AUDNZD__120.csv
AUDNZD,2H,none,10,1.8,bottom,39,21,18,53.8,2.27,311.7,21.4,3.0,29.5,31,48.4,1.75,169.6,8,75.0,8.1,142.1,19354,PEPPERSTONE_AUDNZD__120.csv
AUDNZD,2H,origination,10,1.8,bottom,43,23,20,53.5,2.0,287.4,23.3,3.9,67.1,43,53.5,2.0,287.4,0,0.0,999.0,0.0,19354,PEPPERSTONE_AUDNZD__120.csv
AUDNZD,2H,none,10,2.0,bottom,39,20,19,51.3,2.34,343.4,22.8,3.0,29.5,31,45.2,1.78,183.3,8,75.0,9.0,160.1,19354,PEPPERSTONE_AUDNZD__120.csv
AUDNZD,2H,origination,10,2.0,bottom,43,21,22,48.8,1.87,273.1,21.5,3.9,67.1,43,48.8,1.87,273.1,0,0.0,999.0,0.0,19354,PEPPERSTONE_AUDNZD__120.csv
AUDNZD,2H,none,15,1.5,bottom,39,22,17,56.4,2.01,324.0,17.0,3.0,29.5,31,48.4,1.45,136.4,8,87.5,13.51,187.6,19354,PEPPERSTONE_AUDNZD__120.csv
AUDNZD,2H,origination,15,1.5,bottom,43,22,21,51.2,1.52,211.8,12.3,3.9,67.1,43,51.2,1.52,211.8,0,0.0,999.0,0.0,19354,PEPPERSTONE_AUDNZD__120.csv
AUDNZD,2H,none,15,1.8,bottom,39,22,17,56.4,2.41,452.7,24.8,3.0,29.5,31,48.4,1.74,224.6,8,87.5,16.21,228.1,19354,PEPPERSTONE_AUDNZD__120.csv
AUDNZD,2H,origination,15,1.8,bottom,43,20,23,46.5,1.53,235.6,13.4,3.9,67.1,43,46.5,1.53,235.6,0,0.0,999.0,0.0,19354,PEPPERSTONE_AUDNZD__120.csv
AUDNZD,2H,none,15,2.0,bottom,39,18,21,46.2,1.68,278.3,15.7,6.8,29.5,31,38.7,1.23,86.6,8,75.0,6.3,191.7,19354,PEPPERSTONE_AUDNZD__120.csv
AUDNZD,2H,origination,15,2.0,bottom,43,17,26,39.5,1.22,114.3,7.8,5.9,67.1,43,39.5,1.22,114.3,0,0.0,999.0,0.0,19354,PEPPERSTONE_AUDNZD__120.csv
AUDNZD,2H,none,20,1.5,bottom,35,19,16,54.3,1.78,296.7,13.0,3.0,26.1,27,44.4,1.17,61.5,8,87.5,12.76,235.2,19354,PEPPERSTONE_AUDNZD__120.csv
AUDNZD,2H,origination,20,1.5,bottom,39,17,22,43.6,1.09,50.0,3.2,4.4,67.9,39,43.6,1.09,50.0,0,0.0,999.0,0.0,19354,PEPPERSTONE_AUDNZD__120.csv
AUDNZD,2H,none,20,1.8,bottom,35,15,20,42.9,1.31,148.9,6.9,5.1,26.1,27,37.0,1.03,13.7,8,62.5,2.83,135.2,19354,PEPPERSTONE_AUDNZD__120.csv
AUDNZD,2H,origination,20,1.8,bottom,39,14,25,35.9,0.96,,,6.5,67.9,,,,,0,0.0,999.0,0.0,19354,PEPPERSTONE_AUDNZD__120.csv
